Length	Field
7.2157215700E+00	1.8763189200E+00
7.2307230700E+00	1.8765409700E+00
7.2457245700E+00	1.8767630300E+00
7.2607260700E+00	1.8769850900E+00
7.2757275700E+00	1.8772071400E+00
7.2907290700E+00	1.8774292000E+00
7.3057305700E+00	1.8776512600E+00
7.3207320700E+00	1.8778733200E+00
7.3357335700E+00	1.8780953700E+00
7.3507350700E+00	1.8783174300E+00
7.3657365700E+00	1.8785394900E+00
7.3807380700E+00	1.8787615400E+00
7.3957395700E+00	1.8789836000E+00
7.4107410700E+00	1.8792056600E+00
7.4257425700E+00	1.8794277100E+00
7.4407440700E+00	1.8796497700E+00
7.4557455700E+00	1.8798718300E+00
7.4707470700E+00	1.8800938800E+00
7.4857485700E+00	1.8803159400E+00
7.5007500800E+00	1.8805380000E+00
7.5157515800E+00	1.8807600500E+00
7.5307530800E+00	1.8809821100E+00
7.5457545800E+00	1.8812041700E+00
7.5607560800E+00	1.8814262300E+00
7.5757575800E+00	1.8816482800E+00
7.5907590800E+00	1.8818703400E+00
7.6057605800E+00	1.8820924000E+00
7.6207620800E+00	1.8823144500E+00
7.6357635800E+00	1.8825365100E+00
7.6507650800E+00	1.8827585700E+00
7.6657665800E+00	1.8829806200E+00
7.6807680800E+00	1.8832026800E+00
7.6957695800E+00	1.8834247400E+00
7.7107710800E+00	1.8836467900E+00
7.7257725800E+00	1.8838688500E+00
7.7407740800E+00	1.8840909100E+00
7.7557755800E+00	1.8843129600E+00
7.7707770800E+00	1.8845350200E+00
7.7857785800E+00	1.8847570800E+00
7.8007800800E+00	1.8849791400E+00
7.8157815800E+00	1.8852011900E+00
7.8307830800E+00	1.8854232500E+00
7.8457845800E+00	1.8856453100E+00
7.8607860800E+00	1.8858673600E+00
7.8757875800E+00	1.8860894200E+00
7.8907890800E+00	1.8863114800E+00
7.9057905800E+00	1.8865335300E+00
7.9207920800E+00	1.8867555900E+00
7.9357935800E+00	1.8869776500E+00
7.9507950800E+00	1.8871997000E+00
7.9657965800E+00	1.8874217600E+00
7.9807980800E+00	1.8876438200E+00
7.9957995800E+00	1.8878658700E+00
8.0108010800E+00	1.8880879300E+00
8.0258025800E+00	1.8883099900E+00
8.0408040800E+00	1.8885320500E+00
8.0558055800E+00	1.8887541000E+00
8.0708070800E+00	1.8889761600E+00
8.0858085800E+00	1.8891982200E+00
8.1008100800E+00	1.8894202700E+00
8.1158115800E+00	1.8896423300E+00
8.1308130800E+00	1.8898643900E+00
8.1458145800E+00	1.8900864400E+00
8.1608160800E+00	1.8903085000E+00
8.1758175800E+00	1.8905305600E+00
8.1908190800E+00	1.8907526100E+00
8.2058205800E+00	1.8909746700E+00
8.2208220800E+00	1.8911967300E+00
8.2358235800E+00	1.8914187800E+00
8.2508250800E+00	1.8916408400E+00
8.2658265800E+00	1.8918629000E+00
8.2808280800E+00	1.8920849600E+00
8.2958295800E+00	1.8923070100E+00
8.3108310800E+00	1.8925290700E+00
8.3258325800E+00	1.8927511300E+00
8.3408340800E+00	1.8929731800E+00
8.3558355800E+00	1.8931952400E+00
8.3708370800E+00	1.8934173000E+00
8.3858385800E+00	1.8936393500E+00
8.4008400800E+00	1.8938614100E+00
8.4158415800E+00	1.8940834700E+00
8.4308430800E+00	1.8943055200E+00
8.4458445800E+00	1.8945275800E+00
8.4608460800E+00	1.8947496400E+00
8.4758475800E+00	1.8949717000E+00
8.4908490800E+00	1.8951937500E+00
8.5058505900E+00	1.8954158100E+00
8.5208520900E+00	1.8956378700E+00
8.5358535900E+00	1.8958628200E+00
8.5508550900E+00	1.8960884600E+00
8.5658565900E+00	1.8963141100E+00
8.5808580900E+00	1.8965397600E+00
8.5958595900E+00	1.8967654000E+00
8.6108610900E+00	1.8969910500E+00
8.6258625900E+00	1.8972167000E+00
8.6408640900E+00	1.8974423500E+00
8.6558655900E+00	1.8976679900E+00
8.6708670900E+00	1.8978936400E+00
8.6858685900E+00	1.8981192900E+00
8.7008700900E+00	1.8983449300E+00
8.7158715900E+00	1.8985705800E+00
8.7308730900E+00	1.8987962300E+00
8.7458745900E+00	1.8990218800E+00
