Length	Field
5.5655565600E+00	6.9141724700E-01
5.5805580600E+00	6.9148367100E-01
5.5955595600E+00	6.9155009500E-01
5.6105610600E+00	6.9161651900E-01
5.6255625600E+00	6.9168294400E-01
5.6405640600E+00	6.9174936800E-01
5.6555655600E+00	6.9181579200E-01
5.6705670600E+00	6.9188221600E-01
5.6855685600E+00	6.9194864000E-01
5.7005700600E+00	6.9201506400E-01
5.7155715600E+00	6.9208148800E-01
5.7305730600E+00	6.9214791200E-01
5.7455745600E+00	6.9221433700E-01
5.7605760600E+00	6.9228076100E-01
5.7755775600E+00	6.9236428900E-01
5.7905790600E+00	6.9244858900E-01
5.8055805600E+00	6.9253288900E-01
5.8205820600E+00	6.9261718800E-01
5.8355835600E+00	6.9270148800E-01
5.8505850600E+00	6.9278578900E-01
5.8655865600E+00	6.9287008900E-01
5.8805880600E+00	6.9295438900E-01
5.8955895600E+00	6.9303868900E-01
5.9105910600E+00	6.9312298900E-01
5.9255925600E+00	6.9320729000E-01
5.9405940600E+00	6.9329159000E-01
5.9555955600E+00	6.9337589100E-01
5.9705970600E+00	6.9346019100E-01
5.9855985600E+00	6.9354449200E-01
6.0006000600E+00	6.9362879200E-01
6.0156015600E+00	6.9371309300E-01
6.0306030600E+00	6.9379739400E-01
6.0456045600E+00	6.9388169500E-01
6.0606060600E+00	6.9396599600E-01
6.0756075600E+00	6.9405029600E-01
6.0906090600E+00	6.9413459700E-01
6.1056105600E+00	6.9421419700E-01
6.1206120600E+00	6.9429264900E-01
6.1356135600E+00	6.9437110100E-01
6.1506150600E+00	6.9444955200E-01
6.1656165600E+00	6.9452800400E-01
6.1806180600E+00	6.9460645600E-01
6.1956195600E+00	6.9468490800E-01
6.2106210600E+00	6.9476336000E-01
6.2256225600E+00	6.9484181200E-01
6.2406240600E+00	6.9492026300E-01
6.2556255600E+00	6.9499871500E-01
6.2706270600E+00	6.9507716700E-01
6.2856285600E+00	6.9515561900E-01
6.3006300600E+00	6.9523407100E-01
6.3156315600E+00	6.9531252300E-01
6.3306330600E+00	6.9539097400E-01
6.3456345600E+00	6.9546942600E-01
6.3606360600E+00	6.9554787800E-01
6.3756375600E+00	6.9562633000E-01
6.3906390600E+00	6.9570478200E-01
6.4056405600E+00	6.9578323400E-01
6.4206420600E+00	6.9586168500E-01
6.4356435600E+00	6.9594013700E-01
6.4506450600E+00	6.9601858900E-01
6.4656465600E+00	6.9609704100E-01
6.4806480600E+00	6.9617549300E-01
6.4956495600E+00	6.9625394500E-01
6.5106510700E+00	6.9633239700E-01
6.5256525700E+00	6.9641084800E-01
6.5406540700E+00	6.9648930000E-01
6.5556555700E+00	6.9656775200E-01
6.5706570700E+00	6.9664620400E-01
6.5856585700E+00	6.9672465600E-01
6.6006600700E+00	6.9680426900E-01
6.6156615700E+00	6.9689119100E-01
6.6306630700E+00	6.9697811500E-01
6.6456645700E+00	6.9706504100E-01
6.6606660700E+00	6.9715196700E-01
6.6756675700E+00	6.9723889500E-01
6.6906690700E+00	6.9732582500E-01
6.7056705700E+00	6.9741275500E-01
6.7206720700E+00	6.9749968700E-01
6.7356735700E+00	6.9758662000E-01
6.7506750700E+00	6.9767355500E-01
6.7656765700E+00	6.9776049100E-01
6.7806780700E+00	6.9784742800E-01
